Id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,HYPERLINK,LANDXADDRE,LANDYADDRE,PHOTOURL,ADDRESSFLO,INC_CRC,FMEL_UPD_D,ADDRESSUNI,snippet,Y,X
981,KOI - Clementi,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,443,,120443,Clementi Avenue 3,D,,0,0,,1,96A8D102324D37BA,2.02004E+13,67,,32944.34579,20286.6633
982,KOI - Tampines,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,510,Tampines,520510,Tampines Central 1,D,,0,0,,1,A263806E9EC513E5,2.02004E+13,250,,37432.81929,40368.5666
983,KOI - Bedok Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,311,Bedok Mall,467360,New Uppoer Changi Road,D,,0,0,,1,7C89C1766620A469,2.02004E+13,97,,34112.28809,38678.1716
984,Polar Puffs & Cakes - North Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,930,North Point Shopping Centre,769098,Yishun Avenue 2,B,,0,0,,B1,C1B4B590A4D3F936,2.02004E+13,11,,45714.3109,28273.5296
985,Polar Puffs & Cakes - Novena Square 2,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Novena Square 2,307506,Sinaran Drive,B,,0,0,,B1,33A0A295F829E68D,2.02004E+13,127,,33631.92289,29176.732
986,Polar Puffs & Cakes - Sembawang Shopping Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,604,Sembawang Shopping Centre,758459,Sembawang Road,B,,0,0,,B1,E8EEC3DE6C714DB2,2.02004E+13,K6,,47048.8053,27018.0809
987,Polar Puffs & Cakes - Bedok Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,311,Bedok Mall,467360,New Upper Changi Road,B,,0,0,,B2,7C89C176EECD7843,2.02004E+13,K5,,34112.28809,38678.1716
988,Polar Puffs & Cakes - Bugis Junction,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,200,Bugis Junction,188021,Victoria Street,B,,0,0,,B1,3D7EAAAA33B61E44,2.02004E+13,K8,,31274.86219,30458.706
989,Polar Puffs & Cakes - Tampines Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,4,Tampines Mall,529510,Tampines Central 5,B,,0,0,,B1,30EA1FA459FDA9D0,2.02004E+13,K14,,37197.43079,40360.7753
990,Polar Puffs & Cakes - White Sands,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,White Sands,518457,Pasir Ris Central Street 3,B,,0,0,,B1,F256D98638E870DB,2.02004E+13,K1,,39384.35829,40953.5852
991,Polar Puffs & Cakes - The Clementi Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,3155,The Clementi Mall,129588,Commonwealth Avenue West,B,,0,0,,B1,E9AD0B2DC0C6904C,2.02004E+13,K15,,33015.41229,20313.1303
992,Polar Puffs & Cakes - Jurong Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Jurong Point,648886,Jurong West Central 2,B,,0,0,,B1,FCA5451CEFA4CA9C,2.02004E+13,11,,35777.49279,13882.0895
993,Polar Puffs & Cakes - Lot 1 Shoppers' Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,21,Lot 1 Shoppers' Mall,689812,Choa Chu Kang Avenue 4,B,,0,0,,B1,E2F44985110C92C2,2.02004E+13,K20,,40779.5207,18165.7486
994,Polar Puffs & Cakes - West Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,West Mall,658713,Bukit Batok Central Link,B,,0,0,,1,ABBDF3995B491EA0,2.02004E+13,K7,,36922.73599,18618.7301
995,Mr Bean - Tampines Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,4,Tampines Mall,529510,Tampines Mall 5,F,,0,0,,B1,30EA1FA4F05C66EC,2.02004E+13,K11,,37197.43079,40360.7753
996,Mr Bean - Tampines MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,20,Tampines MRT,529538,Tampines Central 1,F,,0,0,,1,D174D5942FC76FA2,2.02004E+13,23,,37305.16209,40410.8845
997,Mr Bean - Toa Payoh Hub,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,500,Toa Payoh Hub,310500,Toa Payoh Lor 6,F,,0,0,,1,E8A79092FAC20E9D,2.02004E+13,35,,35018.07239,29528.2035
998,Mr Bean - Tanjong Pagar MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,120,Tanjong Pagar MRT Station,69119,Maxwell Road,F,,0,0,,B1,0A1415AC99955E86,2.02004E+13,18,,28776.17849,29346.99349
999,Mr Bean - Tai Seng,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,18,Mapletree 18,539775,Tai Seng Street,F,,0,0,,B1,B47E68D424B59131,2.02004E+13,12,,35393.09679,34165.123
1000,Mr Bean - TTSH,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,11,Tan Tock Seng Hospital (TTSH),308433,Jalan Tan Tock Seng,F,,0,0,,1,E022068DD0EDC4FF,2.02004E+13,11,,33774.15779,29343.3196
1001,Mr Bean - Vivo City,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Vivo City,98585,Harbourfront Walk,F,,0,0,,B2,57517317F7254DE2,2.02004E+13,K9,,27380.70089,26694.6131
1002,Mr Bean - West Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,West Mall,658713,Bukit Batok Central Link,F,,0,0,,1,ABBDF3998C5EED92,2.02004E+13,7A,,36922.73599,18618.7301
1003,Mr Bean - Waterway Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,83,Waterway Point,828761,Punggol Central,F,,0,0,,1,92251D969ECCB5F2,2.02004E+13,K1,,43153.2448,35641.9784
1004,Mr Bean - Yew Tee Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,21,Yew Tee Point,689578,Choa Chu Kang North 6,F,,0,0,,1,20BC00243FEA40B0,2.02004E+13,"52,53",,42132.2393,18344.7137
1005,Mr Bean - SMU,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,90,"Singapore Management University (SMU), School of Economics & Social Science",178903,Stamford Road,F,,0,0,,1,07055121715F3E04,2.02004E+13,72,,31143.50239,29728.5934
1006,Mr Bean - V Hotel,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,70,V Hotel Lavender,208767,Jellicoe Road,F,,0,0,,1,942397A2C8BE020B,2.02004E+13,16,,32236.44179,31250.4676
1007,Mr Bean - Junction 8,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,9,Junction 8,579837,Bishan Place,F,,0,0,,B1,EF33ED2CA36E226D,2.02004E+13,K6,,36928.13689,29687.033
1008,Mr Bean - Republic Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,9,Republic Plaza,48619,Raffles Place,F,,0,0,,1,A2192D7F220F2470,2.02004E+13,8A,,29546.62529,29920.3909
1009,Mr Bean - Chinese Garden MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,151,Chinese Garden MRT,609959,Boon Lay Way,F,,0,0,,1,7E0502C2A1C91C32,2.02004E+13,2,,36056.30159,16790.747
1010,Mr Bean - Sengkang General Hospital,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,110,Sengkang General Hospital,544886,Sengkang East Way,F,,0,0,,1,E1479B045A1FAAB2,2.02004E+13,5,,41800.1447,34641.9014
1011,Mr Bean - National Centre of Infectious Disease,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,16,National Centre of Infectious Disease,308442,Jalan Tan Tock Seng,F,,0,0,,B1,93F9BE275EDE9352,2.02004E+13,5,,33738.91269,29611.4412
1012,Mr Bean - Northpoint City,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Northpoint City,768019,Northpoint Drive,F,,0,0,,B2,BD725D17492709AA,2.02004E+13,130,,45530.4652,28308.652
1013,Mr Bean - Poiz Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,51,Poiz Centre,347697,Upper Serangoon Road,F,,0,0,,1,DDC365169446C1FB,2.02004E+13,8,,34834.32179,31868.1918
1014,Mr Bean - National University Hospital,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,9,National University Hospital,119085,Lower Kent Ridge Road,F,,0,0,,1,5A9A1DBEE4550E27,2.02004E+13,1,,30915.11909,22426.6513
1015,Mr Bean - Fusionopolis,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Fusionopolis,138632,Fusionopolis Place,F,,0,0,,1,FD95546EAD2D8B71,2.02004E+13,6,,31294.90029,22890.12399
1016,Mr Bean - KK Women's and Children's Hospital (KKH),Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,100,KK Women's and Children's Hospital (KKH),229899,Bukit Timah Road,F,,0,0,,100,08C7F034AEEA87C2,2.02004E+13,1,,32528.26179,29483.6705
1017,Mr Bean - Buangkok Link,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,911,Buangkok Link,530911,Buangkok Link,F,,0,0,,1,F230C85EE8DC5409,2.02004E+13,4,,40101.4689,33624.1539
1018,Mr Bean - Yishun Polyclinic,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,Yishun Polyclinic,768898,Yishun Avenue 9,F,,0,0,,1,6A0E633018638B89,2.02004E+13,1,,45787.2945,28653.4793
1019,Mr Bean - Tiong Bahru Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,302,Tiong Bahru Plaza,168732,Tiong Bahru Road,F,,0,0,,B1,529D582067788B29,2.02004E+13,K4,,29876.11289,27289.5705
1020,Mr Bean - White Sands,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,White Sands,518457,Pasir Ris Central Street 3,F,,0,0,,1,F256D986263AB3CC,2.02004E+13,41,,39384.35829,40953.5852
