Id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,HYPERLINK,LANDXADDRE,LANDYADDRE,PHOTOURL,ADDRESSFLO,INC_CRC,FMEL_UPD_D,ADDRESSUNI,snippet,Y,X
1,McDonald's - Bugis Junction,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,230,Bugis Junction,188021,Victoria Street,Q,,0,0,,1,3D7EAAAA39C1DB1D,2.02004E+13,K5,,31274.86219,30458.706
2,McDonald's - Bugis Village,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,151,Bugis Village,188426,Rochor Road,Q,,0,0,,1,282EA180C3E340F1,2.02004E+13,"42,43",,31472.31379,30439.8986
3,McDonald's - Bukit Batok,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,632,,650632,Bukit Batok Central,Q,,0,0,,1,3B263E957208A014,2.02004E+13,10,,36836.81569,18787.5168
4,McDonald's - Bukit Batok West,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,152,,650152,Bukit Batok Street 11,Q,,0,0,,1,A08E51C9B4792515,2.02004E+13,451,,36714.06999,18088.463
5,McDonald's - Bukit Gombak,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,374,,650374,Bukit Batok Street 31,Q,,0,0,,1,84E60DC6E96C3F14,2.02004E+13,27,,37797.39029,18807.6948
6,McDonald's - Bukit Panjang Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Bukit Panjang Plaza,677743,Jelebu Road,Q,,0,0,,2,E998469201100996,2.02004E+13,"24,25",,40276.2203,20281.4687
7,McDonald's - Causeway Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Causeway Point,738099,Woodlands Square,Q,,0,0,,1,997DF23DCAE7783F,2.02004E+13,9,,46412.0239,22699.52399
8,McDonald's - Changi Airport T2,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Changi Airport Terminal 2,819643,"Airport Boulevard, Changi Airport Terminal 2?? Mezzanine Level Arrival Meeting",Q,,0,0,,M016,51DD7FDD0478E07E,2.02004E+13,41,,37476.19949,45297.8699
9,McDonald's - Changi Airport T2 Transit Lounge,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Changi Airport Terminal 2,819643,"Airport Boulevard, Changi Airport Terminal 2?? Departure, Transit Lounge Central",Q,,0,0,,36,51DD7FDDD0883370,2.02004E+13,151,,37476.19949,45297.8699
10,McDonald's - Changi Airport T3,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,65,Changi Airport Terminal 3,819663,"Airport Boulevard, Changi Airport Terminal 3??Arrival Meeting Hall South",Q,,0,0,,1,1A6E905C5CFC4298,2.02004E+13,9,,37385.47989,44899.3133
11,McDonald's - Changi Airport T4,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Changi Airport Terminal 4,819665,"Airport Boulevard, Changi Airport Terminal 4??Mezzanie Departure , Check-in Hall",Q,,0,0,,2,2C7925A54FED2A90,2.02004E+13,19,,35576.16899,44711.6974
12,McDonald's - Changi City Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,5,Changi City Point,486038,Changi Business Park Central 1,Q,,0,0,,1,F775E2BCDA87AFE7,2.02004E+13,2,,35168.78959,42364.2295
13,McDonald's - Chinatown Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,133,Chinatown Point,59413,New Bridge Road,Q,,0,0,,1,CA38BDBE3501EFD4,2.02004E+13,83,,29714.16409,29266.3331
14,McDonald's - Choa Chu Kang 4,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,21,Lot One,689812,Choa Chu Kang Avenue 4,Q,,0,0,,1,E2F44985F0884E32,2.02004E+13,,,40779.5207,18165.7486
15,McDonald's - Choa Chu Kang 62,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,624,,680624,Choa Chu Kang Street 62,Q,,0,0,,2,B137D01B61EBE093,2.02004E+13,39,,42185.2569,18391.0092
16,McDonald's - Choa Chu Kang 62 (Kiosk),Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,623,,680623,Choa Chu Kang Street 62,Q,,0,0,,1,60F1DA450BA580EF,2.02004E+13,2,,42244.9601,18432.2773
17,McDonald's - Choa Chu Kang MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Choa Chu Kang MRT Station,689810,Choa Chu Kang Avenue 4,Q,,0,0,,1,7BAB3F8D6BC897D0,2.02004E+13,,,40846.3506,18075.46789
18,McDonald's - Choa Chu Kang Neighbourhood 5,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,533,Limbang Shopping Centre,680533,Choa Chu Kang Street 51,Q,,0,0,,1,4F2767BD0B589FB2,2.02004E+13,,,41554.1652,17959.8066
19,McDonald's - Chong Pang CC,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,21,Chong Pang Community Centre,768677,Yishun Ring Road,Q,,0,0,,1,60A8EEFFA585F96A,2.02004E+13,2,,45839.6911,27545.54499
20,McDonald's - Chua Chu Kang CC,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,35,Choa Chu Kang Community Centre,688892,Teck Whye Avenue,Q,,0,0,,1,48BFE544A8448B21,2.02004E+13,95,,40346.8055,18939.5703
21,McDonald's - City Square Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,180,City Square Mall,208539,Kitchener Road,Q,,0,0,,B1,525075C5CC3613DF,2.02004E+13,125,,32622.99229,30571.1667
22,McDonald's - Clementi Ave 3,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,451,,120451,Clementi Avenue 3,Q,,0,0,,1,BABCEEC547CAF03D,2.02004E+13,19,,32753.31959,20449.8497
23,McDonald's - Clementi Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,3155,Clementi Mall,129588,Commonwealth Avenue West,Q,,0,0,,1,E9AD0B2D2764E9D2,2.02004E+13,"K2,3,4",,33015.41229,20313.1303
24,McDonald's - Parkway,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Parkway Parade,449408,Marine Parade Central Parkway Centre,Q,,0,0,,1,C2B4194A93A1CB4D,2.02004E+13,1,,31581.72169,36088.3454
25,McDonald's - Pasir Ris Central,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,White Sands Shopping Centre,518457,Pasir Ris Central Street 3,Q,,0,0,,1,F256D986FC5031B5,2.02004E+13,"29,30",,39384.35829,40953.5852
26,McDonald's - Pasir Ris Sports & Recreation Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,120,Pasir Ris Sports & Recreation Centre,519640,Pasir Ris Central,Q,,0,0,,1,F87899225F06E479,2.02004E+13,12,,39605.3697,41188.03629
27,McDonald's - Paya Lebar Square,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Paya Lebar Square,409051,Paya Lebar Road,Q,,0,0,,1,7F512A62AFF09256,2.02004E+13,"68,69,74,75,76,K3",,33438.06029,34591.9458
28,McDonald's - People's Park,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,People's Park Complex,59108,Park Road,Q,,0,0,,1,B6BAC500E94DE310,2.02004E+13,"69,75",,29618.52489,29023.9944
29,McDonald's - Pioneer Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,638,Pioneer Mall,640638,Jurong West Street 61,Q,,0,0,,1,462AE25A5B311E92,2.02004E+13,"1,2,2020",,35972.26409,12831.4381
30,McDonald's - Plaza Singapura,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,68,Plaza Singapura,238839,Orchard Road,Q,,0,0,,B1,1E13B07CF8F700C5,2.02004E+13,"23,24",,31455.57599,29305.33689
31,McDonald's - Potong Pasir,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,148,,350148,Potong Pasir Avenue 1,Q,,0,0,,1,48CE6FBCFA779DF8,2.02004E+13,43,,34950.51829,31834.5591
32,McDonald's - PSA,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,460,PSA Building (Alexandra Retail Centre),119963,Alexandra Road,Q,,0,0,,1,47F3FC744003D0FD,2.02004E+13,25,,28462.22779,24417.3235
33,McDonald's - Punggol 21 Community Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,80,Punggol 21 Community Centre,828815,Punggol Field,Q,,0,0,,1,276AC22B7E8D0798,2.02004E+13,2,,41723.565,36919.1417
34,McDonald's - Punggol Safra,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,9,Punggol Safra,828654,Sentul Crescent,Q,,0,0,,3,ABCEC0FDBE0B3B5E,2.02004E+13,5,,43548.8047,36091.9804
35,McDonald's - Queensway,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,580,Ridout Tea Garden,149066,Queensway,Q,,0,0,,1,815E46ECAC4767A9,2.02004E+13,1,,31822.05039,24526.8127
36,McDonald's - Queensway Shopping Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Queensway Shopping Centre,149053,Queensway,Q,,0,0,,2,0E42A42C3184D928,2.02004E+13,46,,30003.78609,24669.3284
37,McDonald's - Raffles City Shopping Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,252,Raffles City Shopping Centre,179103,North Bridge Road,Q,,0,0,,1,F7358B2C53E86CC4,2.02004E+13,"49,50,51",,30682.96559,30164.5884
38,Mcdonald's - REGAL,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,3501,REGAL,159460,Jalan Bukit Merah,Q,,0,0,,1,0D9FF1F55343AF12,2.02004E+13,1,,29540.81189,26319.9462
39,McDonald's - Resorts World Sentosa,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,26,Resorts World Sentosa,98138,Sentosa Gateway,Q,,0,0,,B1,B5D0BA010F824051,2.02004E+13,"211,212,213,214",,26571.03829,26457.5228
40,McDonald's - Rivervale Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,11,Rivervale Mall,545082,Rivervale Crescent,Q,,0,0,,1,FD87EA006D6CC285,2.02004E+13,27,,41567.7918,35918.3979
41,McDonald's - Safra TPY,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,293,Toa Payoh Safra Club House,319387,Toa Payoh Lorong 6,Q,,0,0,,1,CC14D375FAB41F9E,2.02004E+13,2,,34677.62029,30325.4165
42,Kopitiam - Bukit Panjang Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Bukit Panjang Plaza,677743,Jelebu Road,F,,0,0,,3,E99846929C6A045B,2.02004E+13,9,,40276.2203,20281.4687
43,Kopitiam - Changi General Hospital,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,Changi General Hospital,529889,Simei Street 3,F,,0,0,,,88C04B97CD76692B,2.02004E+13,89E,,35871.92869,40906.8669
44,Kopitiam - Changi General Hospital (Integrated Building),Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,6A,IB@Changi General Hospital,529905,Simei Street 3,F,,0,0,,,CD2C68F79F2A85B5,2.02004E+13,8,,35942.00389,40784.3332
45,Kopitiam - Hougang 1,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Hougang 1 Shopping Mall,538692,Hougang Street 91,F,,0,0,,1,CC94809A1FD67A3A,2.02004E+13,K7,,39739.8636,33133.8853
46,Kopitiam - IMM,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,IMM,609601,Jurong East Street 21,F,,0,0,,3,9FB1C7B3C5B5E758,2.02004E+13,24,,35231.97309,18364.09869
47,Kopitiam - Bagus @ Harbourfront Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Harbourfront Centre,99253,1 Maritime Square,F,,0,0,,1,80335D784459A6DA,2.02004E+13,30,,27178.08099,26364.7783
48,Kopitiam - Hillion Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Hillion Mall,678278,17 Petir Road,F,,0,0,,2,B978567B0F179463,2.02004E+13,8,,40036.5402,20145.6156
49,Kopitiam - Singapore Post,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Singapore Post Centre,408600,10 Eunos Road 8,F,,0,0,,3,3AF4830B6E0EA8DE,2.02004E+13,69,,33458.00679,34760.7233
50,Kopitiam - Changi City Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Changi City Point,486038,5 Changi Business Park Central 1,F,,0,0,,2,F775E2BC33BBF275,2.02004E+13,48,,35168.78959,42364.2295
51,Kopitiam - Jurong East MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Jurong East MRT,609690,Jurong East Street 12,F,,0,0,,1,E2013552266A1396,2.02004E+13,6,,35054.69829,17854.31789
52,Kopitiam - Wisteria Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,59B,Wisteria Mall,768698,Yishun Ring Road,F,,0,0,,B1,6B840B188433C249,2.02004E+13,233,,44420.671,28881.1464
53,Kopitiam - Sumang,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,231,,822231,Sumang lane,F,,0,0,,,435F856789CA7904,2.02004E+13,109,,42665.833,34471.1208
54,BAGUS @ Causeway Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Causeway Point,738099,Woodlands Square,F,,0,0,,7,997DF23D97F87826,2.02004E+13,K8,,46412.0239,22699.52399
55,Koufu - 100AM,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,100,100AM Shopping Mall,79027,Tras Street,F,,0,0,,4,38E1324BDE9B4AAA,2.02004E+13,14,,28563.01119,29129.8555
56,Koufu - AMK ITE,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,ITE College Central,567720,Ang Mo Kio Drive,F,,0,0,,1,5D1864A637FCCA28,2.02004E+13,K13,,39985.8282,30570.0081
57,Koufu - Anchorpoint,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,370,Anchorpoint,159953,Alexandra Road,F,,0,0,,B1,1601C32BD265ED6C,2.02004E+13,287,,30114.00189,24849.491
58,Koufu - Cathay Cineleisure Orchard,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,8,Cathay Cineleisure,239693,Grange Road,F,,0,0,,B1,030F7F5A0C33A38F,2.02004E+13,22,,31528.08519,28446.2263
59,Koufu - Gek Poh Shopping Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,762,Gek Poh Shopping Mall,640760,Jurong West Street 75,F,,0,0,,1,17A642FE402A18C9,2.02004E+13,7,,36838.53459,13138.8855
60,Koufu - JEM,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,50,JEM Shopping Mall,608549,Jurong Gateway Road,F,,0,0,,5,F0F20CDE58470C4B,2.02004E+13,2,,35044.20589,17967.4489
61,KouFu - Nee Ann Polytechnic,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,51,,599489,535 Clementi Road,F,,0,0,,2,060A8ECEA8CDAFC0,2.02004E+13,825,,34995.71929,21127.18649
62,Koufu - NTU,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,50,South Spine Food Court,639798,Nanyang Avenue,F,,0,0,,,1D21F94EADC5F678,2.02004E+13,21,,36544.45359,10805.7879
63,Koufu - NUS Utown,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,University Town,138602,Create Way,F,,0,0,,1,FBAAABA936D7283C,2.02004E+13,12,,31814.79539,21341.86529
64,Koufu - Republic Polytechnic,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,9,South Food Court,738964,Woodlands Avenue 9,F,,0,0,,1,98EE6C32793844C6,2.02004E+13,3,,47543.2005,22397.1257
65,Koufu - Rivervale Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,118,Rivervale Plaza,540118,Rivervale Drive,F,,0,0,,2,95D6C598BC74476B,2.02004E+13,61,,40764.3712,35594.1783
66,Koufu - Sembawang Mart,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,511,Sembawang Mart,750511,Canberra Road,F,,0,0,,1,C1456F97EAB9B8E3,2.02004E+13,1,,48384.3367,26467.0388
67,Koufu - The Kitchen - The Star Vista,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,The Star Vista,138617,Vista Exchange Green,F,,0,0,,2,ECF254E1D6899E75,2.02004E+13,1,,32130.26559,22980.3371
68,Koufu - Thomson Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,301,Thomson Plaza,574408,Upper Thomson Road,F,,0,0,,1,017D965EDA3DD502,2.02004E+13,,,37417.93339,27733.0417
69,Koufu - Toa Payoh Centre,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,500,,310500,Toa Payoh Lorong 6,F,,0,0,,2,E8A7909215560A13,2.02004E+13,59,,35018.07239,29528.2035
70,Koufu - Woodland Mart - Fork & Spoon,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,768,Woodlands Mart,730768,Woodlands Avenue 6,F,,0,0,,1,950F57EF24D72000,2.02004E+13,22,,47475.1834,24085.2873
71,Koufu - Woodland Mart,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,768,Woodlands Mart,730768,Woodlands Avenue 6,F,,0,0,,1,950F57EF694E782F,2.02004E+13,K2,,47475.1834,24085.2873
72,Koufu - Yew Tee Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,21,Yew Tee Point,689578,Choa Chu Kang North,F,,0,0,,B1,20BC002465FE2A8D,2.02004E+13,24,,42132.2393,18344.7137
73,Koufu - Square 2,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,,Square 2,307506,10 Sinaran Drive,F,,0,0,,4,33A0A295CAE9AECB,2.02004E+13,27,,33631.92289,29176.732
74,LeNu - Bugis Junction,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,200,Bugis Juction,188021,Victoria Street,R,,0,0,,B1,3D7EAAAA11571B1A,2.02004E+13,,,31274.86219,30458.706
75,LeNu - Compass One,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Compass One,545078,Sengkang Square,R,,0,0,,3,3291922B7F5D4EB3,2.02004E+13,,,41556.3036,34862.1106
76,LeNu - Vivo City,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Vivo City,98585,Harbourfront Walk,R,,0,0,,2,5751731746C3E28A,2.02004E+13,,,27380.70089,26694.6131
77,McDonald's - Admiralty,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,678A,,731678,Woodlands Avenue 6,Q,,0,0,,1,2638E14C4A20342D,2.02004E+13,174,,46899.3474,24457.9121
78,McDonald's - Alocassia,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,383,Alocassia Building,259727,Bukit Timah Road,Q,,0,0,,1,8B47B454FB5BFEE4,2.02004E+13,K5,,33522.06579,27335.2941
79,McDonald's - Ang Mo Kio,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,51,Big Mac Centre,569922,Ang Mo Kio Avenue 3,Q,,0,0,,1,082116F2EED4B6D9,2.02004E+13,10,,39037.43499,29539.7078
80,McDonald's - Ang Mo Kio 4,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,163,,560163,Ang Mo Kio Avenue 4,Q,,0,0,,1,39FC64BE34828DFA,2.02004E+13,195,,39505.8938,28539.78779
81,McDonald's - Ang Mo Kio Ave 10,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,448,,560448,Ang Mo Kio Avenue 10,Q,,0,0,,1,C102332104CF2EC4,2.02004E+13,151,,38830.30579,30568.3076
82,McDonald's - Ang Mo Kio Park,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,,567740,Ang Mo Kio Street 12,Q,,0,0,,,157C007B8A6BB09F,2.02004E+13,347,,39386.76829,29271.0625
83,McDonald's - Balestier Shaw Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,360,Shaw Plaza (Balestier),329783,Balestier Road,Q,,0,0,,1,5F4EF805906D6F91,2.02004E+13,31,,34151.28269,29973.9563
84,McDonald's - Beauty World,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,144,Beauty World Centre,588177,Upper Bukit Timah,Q,,0,0,,1,2B07996694C7D634,2.02004E+13,1,,36060.57029,21648.9448
85,McDonald's - Bedok Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,311,Bedok Mall,467360,New Upper Changi Road,Q,,0,0,,1,7C89C176B0745BC0,2.02004E+13,"11,12",,34112.28809,38678.1716
86,McDonald's - Bedok North,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,539,Bedok North Shopping Mall,460539,Bedok North Street 3,Q,,0,0,,1,BD3B2C46A9D00894,2.02004E+13,11,,34835.63039,38237.3956
87,McDonald's - Bedok Reservior,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,744,,470744,Bedok Reservoir,Q,,0,0,,1,B4790DA4B2F3C505,2.02004E+13,22,,35559.50099,37831.8315
88,McDonald's - Bedok Reservoir,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,632,,470632,Bedok Reservoir Road,Q,,0,0,,1,4152F033FD1CEE02,2.02004E+13,2,,34917.08959,36995.153
89,NTUC Foodfare - KTPH,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,90,Khoo Teck Puat Hospital (KTPH),768828,Yishun Central,F,,0,0,,1,37030E9400EA4135,2.02004E+13,12,,45070.6675,28504.68949
90,NTUC Foodfare - MBFC,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,12,Marina Bay Financial Centre (MBFC),18982,Marina Boulevard,F,,0,0,,1,6A67D8EF3B51E877,2.02004E+13,"1,4,2020",,29062.53569,30334.77659
91,NTUC Foodfare - Mapletree Business City (Kitchen Loft),Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,20,Mapletree Business City,117439,Pasir Panjang Road,F,,0,0,,2,44EE4EE928E7E902,2.02004E+13,21,,28589.49189,24187.8275
92,NTUC Foodfare - Choa Chu Kang,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,303,,680303,Choa Chu Kang Ave 4,F,,0,0,,1,0728C96711563C1D,2.02004E+13,723,,40722.0304,18037.2526
93,NTUC Foodfare - The Seletar Mall,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,33,The Seletar Mall,797653,Sengkang West Avenue,F,,0,0,,3,3BD72E3B341F6FF5,2.02004E+13,37,,41478.7338,32757.4124
94,NTUC Foodfare - Sembawang MRT,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,11,Sembawang MRT Station,759775,Canberra Road,F,,0,0,,1,324B7A464FF5CB47,2.02004E+13,5,,47854.1992,26522.989
95,Kopitiam - Jcube,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,Jcube,609731,Jurong East Central 1,F,,0,0,,B1,3E708F2C140AC5F4,2.02004E+13,10,,35051.73479,17634.2817
96,FEAST - Jurong Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,63,Jurong Point,648331,Jurong West Central 2,F,,0,0,,3,D1F5E5BC69C59453,2.02004E+13,15,,35725.95689,13753.8043
97,Cantine @ Jurong Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Jurong Point,648886,Jurong West Central 2,F,,0,0,,B1,FCA5451CB73929EE,2.02004E+13,14,,35777.49279,13882.0895
98,Kopitiam - KKH,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,100,KK Women's and Children's Hospital (KKH),229899,Bukit Timah Road,F,,0,0,,1,08C7F03475EFE056,2.02004E+13,"49,50",,32528.26179,29483.6705
99,Kopitiam - Ng Teng Fong Hospital,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,2,Ng Teng Fong General Hospital Tower B,609606,Jurong East Street 21,F,,0,0,,2,AF1B1F4050480D0C,2.02004E+13,50,,35302.24189,18044.80669
100,Kopitiam - Novena Square,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,238,Novena Square,307683,Thomson Road,F,,0,0,,3,27A6FB1DF0DE1732,2.02004E+13,17,,33607.74429,29150.5388
101,Kopitiam - NUH,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,5,"National University Hospital (NUH), Main Building Lobby",119074,Lower Kent Ridge Road,F,,0,0,,1,A27A32B73AB6F808,2.02004E+13,53,,30704.32959,22367.6517
102,Kopitiam - Plaza Singapura,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,68,Plaza Singapura,238839,68 Orchard road,F,,0,0,,6,1E13B07C2A46A26B,2.02004E+13,104,,31455.57599,29305.33689
103,Kopitiam - SGH Housemen's Canteen,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,10,Housemen's Canteen,169851,College Road,F,,0,0,,1,23053C9C129BDE7C,2.02004E+13,40,,29358.61629,28172.7313
104,Kopitiam - Singapore General Hospital,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,7,Singapore General Hospital (SGH),169608,Outram Road,F,,0,0,,1,63AD32BEEAF0DDB3,2.02004E+13,K1,,29154.74729,27710.997
